[2014-04-26 04:20:29][Arios]: Initializing cache...
Definition size: 169.
Clothing 0: 0, false, [230], [63, -1, -1, -1, -1]
Clothing 66: 10, true, [343], [-1, -1, -1, -1, -1]
Clothing 67: 11, false, [353], [-1, -1, -1, -1, -1]
Clothing 68: 11, false, [353], [-1, -1, -1, -1, -1]
Clothing 69: 11, true, [353], [-1, -1, -1, -1, -1]
Clothing 70: 12, false, [419], [-1, -1, -1, -1, -1]
Clothing 71: 12, false, [433], [-1, -1, -1, -1, -1]
Clothing 72: 12, false, [431], [-1, -1, -1, -1, -1]
Clothing 73: 12, false, [428], [-1, -1, -1, -1, -1]
Clothing 74: 12, false, [421], [-1, -1, -1, -1, -1]
Clothing 75: 12, false, [438], [-1, -1, -1, -1, -1]
Clothing 76: 12, false, [437], [-1, -1, -1, -1, -1]
Clothing 77: 12, false, [429], [-1, -1, -1, -1, -1]
Clothing 78: 12, true, [429], [-1, -1, -1, -1, -1]
Clothing 79: 13, false, [358], [-1, -1, -1, -1, -1]
Clothing 80: 13, false, [360], [-1, -1, -1, -1, -1]
Clothing 81: 13, true, [360], [-1, -1, -1, -1, -1]
Clothing 82: 6, true, [7117], [-1, -1, -1, -1, -1]
Clothing 83: 13, true, [7118], [-1, -1, -1, -1, -1]
Clothing 84: 4, false, [176], [-1, -1, -1, -1, -1]
Clothing 85: 5, false, [27626], [-1, -1, -1, -1, -1]
Clothing 86: 5, false, [27623], [-1, -1, -1, -1, -1]
Clothing 87: 5, false, [27624], [-1, -1, -1, -1, -1]
Clothing 88: 5, false, [27621], [-1, -1, -1, -1, -1]
Clothing 89: 5, false, [27622], [-1, -1, -1, -1, -1]
Clothing 90: 5, false, [27625], [-1, -1, -1, -1, -1]
Clothing 91: 0, false, [27633], [27680, -1, -1, -1, -1]
Clothing 92: 0, false, [27627], [27677, -1, -1, -1, -1]
Clothing 93: 0, false, [27630], [27679, -1, -1, -1, -1]
Clothing 94: 0, false, [27628], [27682, -1, -1, -1, -1]
Clothing 95: 0, false, [27631], [27683, -1, -1, -1, -1]
Clothing 96: 0, false, [27629], [27681, -1, -1, -1, -1]
Clothing 97: 0, false, [27632], [27678, -1, -1, -1, -1]
Clothing 98: 1, false, [27645], [27685, -1, -1, -1, -1]
Clothing 99: 1, false, [27644], [27688, -1, -1, -1, -1]
Clothing 100: 1, false, [27646], [27687, -1, -1, -1, -1]
Clothing 101: 1, false, [27642], [27689, -1, -1, -1, -1]
Clothing 102: 1, false, [27640], [27684, -1, -1, -1, -1]
Clothing 103: 1, false, [27643], [27690, -1, -1, -1, -1]
Clothing 104: 1, false, [27641], [27686, -1, -1, -1, -1]
Clothing 105: 3, false, [27634], [-1, -1, -1, -1, -1]
Clothing 106: 3, false, [27635], [-1, -1, -1, -1, -1]
Clothing 107: 3, false, [27638], [-1, -1, -1, -1, -1]
Clothing 108: 3, false, [27639], [-1, -1, -1, -1, -1]
Clothing 109: 3, false, [27636], [-1, -1, -1, -1, -1]
Clothing 110: 3, false, [27637], [-1, -1, -1, -1, -1]
Clothing 111: 2, false, [27648], [-1, -1, -1, -1, -1]
Clothing 112: 2, false, [27563], [-1, -1, -1, -1, -1]
Clothing 113: 2, false, [27647], [-1, -1, -1, -1, -1]
Clothing 114: 2, false, [25864], [-1, -1, -1, -1, -1]
Clothing 115: 2, false, [27650], [-1, -1, -1, -1, -1]
Clothing 116: 2, false, [27649], [-1, -1, -1, -1, -1]
Clothing 117: 4, false, [24553], [-1, -1, -1, -1, -1]
Clothing 118: 4, false, [24553], [-1, -1, -1, -1, -1]
Clothing 119: 4, false, [24554], [-1, -1, -1, -1, -1]
Clothing 120: 4, false, [24554], [-1, -1, -1, -1, -1]
Clothing 121: 4, false, [24555], [-1, -1, -1, -1, -1]
Clothing 122: 4, false, [24555], [-1, -1, -1, -1, -1]
Clothing 123: 4, false, [24556], [-1, -1, -1, -1, -1]
Clothing 124: 4, false, [24556], [-1, -1, -1, -1, -1]
Clothing 125: 4, false, [24557], [-1, -1, -1, -1, -1]
Clothing 126: 4, false, [24557], [-1, -1, -1, -1, -1]
Clothing 127: 11, false, [353], [-1, -1, -1, -1, -1]
Clothing 128: 12, false, [27655], [-1, -1, -1, -1, -1]
Clothing 129: 12, false, [27657], [-1, -1, -1, -1, -1]
Clothing 130: 12, false, [27654], [-1, -1, -1, -1, -1]
Clothing 131: 12, false, [27653], [-1, -1, -1, -1, -1]
Clothing 132: 12, false, [27656], [-1, -1, -1, -1, -1]
Clothing 133: 12, false, [27651], [-1, -1, -1, -1, -1]
Clothing 134: 12, false, [27652], [-1, -1, -1, -1, -1]
Clothing 135: 7, false, [16458], [16446, -1, -1, -1, -1]
Clothing 136: 7, false, [16453], [16441, -1, -1, -1, -1]
Clothing 137: 7, false, [16460], [16448, -1, -1, -1, -1]
Clothing 138: 7, false, [16457], [16470, -1, -1, -1, -1]
Clothing 139: 7, false, [27664], [27695, -1, -1, -1, -1]
Clothing 140: 7, false, [27660], [16439, -1, -1, -1, -1]
Clothing 141: 7, false, [27662], [27692, -1, -1, -1, -1]
Clothing 142: 7, false, [16454], [16442, -1, -1, -1, -1]
Clothing 143: 7, false, [27663], [27696, -1, -1, -1, -1]
Clothing 144: 7, false, [27661], [27694, -1, -1, -1, -1]
Clothing 145: 7, false, [27658], [27693, -1, -1, -1, -1]
Clothing 146: 7, false, [27659], [27691, -1, -1, -1, -1]
Clothing 147: 10, false, [27670], [-1, -1, -1, -1, -1]
Clothing 148: 10, false, [27666], [-1, -1, -1, -1, -1]
Clothing 149: 10, false, [27665], [-1, -1, -1, -1, -1]
Clothing 150: 10, false, [27668], [-1, -1, -1, -1, -1]
Clothing 151: 10, false, [27669], [-1, -1, -1, -1, -1]
Clothing 152: 10, false, [27667], [-1, -1, -1, -1, -1]
Clothing 153: 9, false, [27673], [-1, -1, -1, -1, -1]
Clothing 154: 9, false, [27675], [-1, -1, -1, -1, -1]
Clothing 155: 9, false, [27672], [-1, -1, -1, -1, -1]
Clothing 156: 9, false, [27674], [-1, -1, -1, -1, -1]
Clothing 157: 9, false, [27671], [-1, -1, -1, -1, -1]
Clothing 158: 9, false, [27676], [-1, -1, -1, -1, -1]
Clothing 159: 11, false, [24559], [-1, -1, -1, -1, -1]
Clothing 160: 11, false, [24559], [-1, -1, -1, -1, -1]
Clothing 161: 11, false, [24560], [-1, -1, -1, -1, -1]
Clothing 162: 11, false, [24560], [-1, -1, -1, -1, -1]
Clothing 163: 11, false, [24561], [-1, -1, -1, -1, -1]
Clothing 164: 11, false, [24561], [-1, -1, -1, -1, -1]
Clothing 165: 11, false, [24562], [-1, -1, -1, -1, -1]
Clothing 166: 11, false, [24562], [-1, -1, -1, -1, -1]
Clothing 167: 11, false, [24563], [-1, -1, -1, -1, -1]
Clothing 168: 11, false, [24563], [-1, -1, -1, -1, -1]
