
item=Dwarf remains, id=0, option=[null, null, null, null, Destroy]
item=Yew longbow (u), id=67, option=[null, null, null, null, drop]
item=Yew shortbow (u), id=68, option=[null, null, null, null, drop]
item=Yew shortbow (u), id=69, option=[null, null, null, null, drop]
item=Magic longbow (u), id=70, option=[null, null, null, null, drop]
item=Magic longbow (u), id=71, option=[null, null, null, null, drop]
item=Magic shortbow (u), id=72, option=[null, null, null, null, drop]
item=Magic shortbow (u), id=73, option=[null, null, null, null, drop]
item=Khazard helmet, id=74, option=[null, Wear, null, null, drop]
item=Khazard armour, id=75, option=[null, Wear, null, null, drop]
item=Khazard cell keys, id=76, option=[null, null, null, null, drop]
item=Khali brew, id=77, option=[null, null, null, null, drop]
item=Ice arrows, id=78, option=[null, Wield, null, null, drop]
item=null, id=79, option=[null, null, null, null, drop]
item=null, id=80, option=[null, null, null, null, drop]
item=null, id=81, option=[null, null, null, null, drop]
item=null, id=82, option=[null, null, null, null, drop]
item=Lever, id=83, option=[null, null, null, null, drop]
item=Staff of armadyl, id=84, option=[null, null, null, null, drop]
item=Shiny key, id=85, option=[null, null, null, null, drop]
item=Pendant of lucien, id=86, option=[null, Wear, null, null, drop]
item=Armadyl pendant, id=87, option=[null, Wear, null, null, drop]
item=Boots of lightness, id=88, option=[null, Wear, null, null, drop]
item=Boots of lightness, id=89, option=[null, Wear, null, null, drop]
item=Child's blanket, id=90, option=[null, null, null, null, drop]
item=Guam potion(unf), id=91, option=[null, null, null, Empty, drop]
item=Guam potion(unf), id=92, option=[null, null, null, null, drop]
item=Marrentill potion(unf), id=93, option=[null, null, null, Empty, drop]
item=Marrentill potion(unf), id=94, option=[null, null, null, null, drop]
item=Tarromin potion(unf), id=95, option=[null, null, null, Empty, drop]
item=Tarromin potion(unf), id=96, option=[null, null, null, null, drop]
item=Harralander potion(unf), id=97, option=[null, null, null, Empty, drop]
item=Harralander potion(unf), id=98, option=[null, null, null, null, drop]
item=Ranarr potion(unf), id=99, option=[null, null, null, Empty, drop]
item=Ranarr potion(unf), id=100, option=[null, null, null, null, drop]
item=Irit potion(unf), id=101, option=[null, null, null, Empty, drop]
item=Irit potion(unf), id=102, option=[null, null, null, null, drop]
item=Avantoe potion(unf), id=103, option=[null, null, null, Empty, drop]
item=Avantoe potion(unf), id=104, option=[null, null, null, null, drop]
item=Kwuarm potion(unf), id=105, option=[null, null, null, Empty, drop]
item=Kwuarm potion(unf), id=106, option=[null, null, null, null, drop]
item=Cadantine potion(unf), id=107, option=[null, null, null, Empty, drop]
item=Cadantine potion(unf), id=108, option=[null, null, null, null, drop]
item=Dwarf weed potion(unf), id=109, option=[null, null, null, Empty, drop]
item=Dwarf weed potion(unf), id=110, option=[null, null, null, null, drop]
item=Torstol potion(unf), id=111, option=[null, null, null, Empty, drop]
item=Torstol potion(unf), id=112, option=[null, null, null, null, drop]
item=Strength potion(4), id=113, option=[Drink, null, null, Empty, drop]
item=Strength potion(4), id=114, option=[null, null, null, null, drop]
item=Strength potion(3), id=115, option=[Drink, null, null, Empty, drop]
item=Strength potion(3), id=116, option=[null, null, null, null, drop]
item=Strength potion(2), id=117, option=[Drink, null, null, Empty, drop]
item=Strength potion(2), id=118, option=[null, null, null, null, drop]
item=Strength potion(1), id=119, option=[Drink, null, null, Empty, drop]
item=Strength potion(1), id=120, option=[null, null, null, null, drop]
item=Attack potion(3), id=121, option=[Drink, null, null, Empty, drop]
item=Attack potion(3), id=122, option=[null, null, null, null, drop]
item=Attack potion(2), id=123, option=[Drink, null, null, Empty, drop]
item=Attack potion(2), id=124, option=[null, null, null, null, drop]
item=Attack potion(1), id=125, option=[Drink, null, null, Empty, drop]
item=Attack potion(1), id=126, option=[null, null, null, null, drop]
item=Restore potion(3), id=127, option=[Drink, null, null, Empty, drop]
item=Restore potion(3), id=128, option=[null, null, null, null, drop]
item=Restore potion(2), id=129, option=[Drink, null, null, Empty, drop]
item=Restore potion(2), id=130, option=[null, null, null, null, drop]
item=Restore potion(1), id=131, option=[Drink, null, null, Empty, drop]
item=Restore potion(1), id=132, option=[null, null, null, null, drop]
item=Defence potion(3), id=133, option=[Drink, null, null, Empty, drop]
item=Defence potion(3), id=134, option=[null, null, null, null, drop]
item=Defence potion(2), id=135, option=[Drink, null, null, Empty, drop]
item=Defence potion(2), id=136, option=[null, null, null, null, drop]
item=Defence potion(1), id=137, option=[Drink, null, null, Empty, drop]
item=Defence potion(1), id=138, option=[null, null, null, null, drop]
item=Prayer potion(3), id=139, option=[Drink, null, null, Empty, drop]
item=Prayer potion(3), id=140, option=[null, null, null, null, drop]
item=Prayer potion(2), id=141, option=[Drink, null, null, Empty, drop]
item=Prayer potion(2), id=142, option=[null, null, null, null, drop]
item=Prayer potion(1), id=143, option=[Drink, null, null, Empty, drop]
item=Prayer potion(1), id=144, option=[null, null, null, null, drop]
item=Super attack(3), id=145, option=[Drink, null, null, Empty, drop]
item=Super attack(3), id=146, option=[null, null, null, null, drop]
item=Super attack(2), id=147, option=[Drink, null, null, Empty, drop]
item=Super attack(2), id=148, option=[null, null, null, null, drop]
item=Super attack(1), id=149, option=[Drink, null, null, Empty, drop]
item=Super attack(1), id=150, option=[null, null, null, null, drop]
item=Fishing potion(3), id=151, option=[Drink, null, null, Empty, drop]
item=Fishing potion(3), id=152, option=[null, null, null, null, drop]
item=Fishing potion(2), id=153, option=[Drink, null, null, Empty, drop]
item=Fishing potion(2), id=154, option=[null, null, null, null, drop]
item=Fishing potion(1), id=155, option=[Drink, null, null, Empty, drop]
item=Fishing potion(1), id=156, option=[null, null, null, null, drop]
item=Super strength(3), id=157, option=[Drink, null, null, Empty, drop]
item=Super strength(3), id=158, option=[null, null, null, null, drop]
item=Super strength(2), id=159, option=[Drink, null, null, Empty, drop]
item=Super strength(2), id=160, option=[null, null, null, null, drop]
item=Super strength(1), id=161, option=[Drink, null, null, Empty, drop]
item=Super strength(1), id=162, option=[null, null, null, null, drop]
item=Super defence(3), id=163, option=[Drink, null, null, Empty, drop]
item=Super defence(3), id=164, option=[null, null, null, null, drop]
item=Super defence(2), id=165, option=[Drink, null, null, Empty, drop]
item=Super defence(2), id=166, option=[null, null, null, null, drop]
item=Super defence(1), id=167, option=[Drink, null, null, Empty, drop]
item=Super defence(1), id=168, option=[null, null, null, null, drop]
item=Ranging potion(3), id=169, option=[Drink, null, null, Empty, drop]
item=Ranging potion(3), id=170, option=[null, null, null, null, drop]
item=Ranging potion(2), id=171, option=[Drink, null, null, Empty, drop]
item=Ranging potion(2), id=172, option=[null, null, null, null, drop]
item=Ranging potion(1), id=173, option=[Drink, null, null, Empty, drop]
item=Ranging potion(1), id=174, option=[null, null, null, null, drop]
item=Antipoison(3), id=175, option=[Drink, null, null, Empty, drop]
item=Antipoison(3), id=176, option=[null, null, null, null, drop]
item=Antipoison(2), id=177, option=[Drink, null, null, Empty, drop]
item=Antipoison(2), id=178, option=[null, null, null, null, drop]
item=Antipoison(1), id=179, option=[Drink, null, null, Empty, drop]
item=Antipoison(1), id=180, option=[null, null, null, null, drop]
item=Super antipoison(3), id=181, option=[Drink, null, null, Empty, drop]
item=Super antipoison(3), id=182, option=[null, null, null, null, drop]
item=Super antipoison(2), id=183, option=[Drink, null, null, Empty, drop]
item=Super antipoison(2), id=184, option=[null, null, null, null, drop]
item=Super antipoison(1), id=185, option=[Drink, null, null, Empty, drop]
item=Super antipoison(1), id=186, option=[null, null, null, null, drop]
item=Weapon poison, id=187, option=[null, null, null, Empty, drop]
item=Weapon poison, id=188, option=[null, null, null, null, drop]
item=Zamorak brew(3), id=189, option=[Drink, null, null, Empty, drop]
item=Zamorak brew(3), id=190, option=[null, null, null, null, drop]
item=Zamorak brew(2), id=191, option=[Drink, null, null, Empty, drop]
item=Zamorak brew(2), id=192, option=[null, null, null, null, drop]
item=Zamorak brew(1), id=193, option=[Drink, null, null, Empty, drop]
item=Zamorak brew(1), id=194, option=[null, null, null, null, drop]
item=Potion, id=195, option=[null, null, null, null, drop]
item=Potion, id=196, option=[null, null, null, null, drop]
item=Poison chalice, id=197, option=[Drink, null, null, null, drop]
item=Poison chalice, id=198, option=[null, null, null, null, drop]
item=Grimy guam, id=199, option=[Clean, null, null, null, drop]
item=Grimy guam, id=200, option=[null, null, null, null, drop]
item=Grimy marrentill, id=201, option=[Clean, null, null, null, drop]
item=Grimy marrentill, id=202, option=[null, null, null, null, drop]
item=Grimy tarromin, id=203, option=[Clean, null, null, null, drop]
item=Grimy tarromin, id=204, option=[null, null, null, null, drop]
item=Grimy harralander, id=205, option=[Clean, null, null, null, drop]
item=Grimy harralander, id=206, option=[null, null, null, null, drop]
item=Grimy ranarr, id=207, option=[Clean, null, null, null, drop]
item=Grimy ranarr, id=208, option=[null, null, null, null, drop]
item=Grimy irit, id=209, option=[Clean, null, null, null, drop]
item=Grimy irit, id=210, option=[null, null, null, null, drop]
item=Grimy avantoe, id=211, option=[Clean, null, null, null, drop]
item=Grimy avantoe, id=212, option=[null, null, null, null, drop]
item=Grimy kwuarm, id=213, option=[Clean, null, null, null, drop]
item=Grimy kwuarm, id=214, option=[null, null, null, null, drop]
item=Grimy cadantine, id=215, option=[Clean, null, null, null, drop]
item=Grimy cadantine, id=216, option=[null, null, null, null, drop]
item=Grimy dwarf weed, id=217, option=[Clean, null, null, null, drop]
item=Grimy dwarf weed, id=218, option=[null, null, null, null, drop]
item=Grimy torstol, id=219, option=[Clean, null, null, null, drop]
item=Grimy torstol, id=220, option=[null, null, null, null, drop]
item=Eye of newt, id=221, option=[null, null, null, null, drop]
item=Eye of newt, id=222, option=[null, null, null, null, drop]
item=Red spiders' eggs, id=223, option=[null, null, null, null, drop]
item=Red spiders' eggs, id=224, option=[null, null, null, null, drop]
item=Limpwurt root, id=225, option=[null, null, null, null, drop]
item=Limpwurt root, id=226, option=[null, null, null, null, drop]
item=Vial of water, id=227, option=[null, null, null, Empty, drop]
item=Vial of water, id=228, option=[null, null, null, null, drop]
item=Vial, id=229, option=[null, null, null, null, drop]
item=Vial, id=230, option=[null, null, null, null, drop]
item=Snape grass, id=231, option=[null, null, null, null, drop]
item=Snape grass, id=232, option=[null, null, null, null, drop]
item=Pestle and mortar, id=233, option=[null, null, null, null, drop]
item=Pestle and mortar, id=234, option=[null, null, null, null, drop]
item=Unicorn horn dust, id=235, option=[null, null, null, null, drop]
item=Unicorn horn dust, id=236, option=[null, null, null, null, drop]
item=Unicorn horn, id=237, option=[null, null, null, null, drop]
item=Unicorn horn, id=238, option=[null, null, null, null, drop]
item=White berries, id=239, option=[null, null, null, null, drop]
item=White berries, id=240, option=[null, null, null, null, drop]
item=Dragon scale dust, id=241, option=[null, null, null, null, drop]
item=Dragon scale dust, id=242, option=[null, null, null, null, drop]
item=Blue dragon scale, id=243, option=[null, null, null, null, drop]
item=Blue dragon scale, id=244, option=[null, null, null, null, drop]
item=Wine of zamorak, id=245, option=[null, null, null, null, drop]
item=Wine of zamorak, id=246, option=[null, null, null, null, drop]
item=Jangerberries, id=247, option=[Eat, null, null, null, drop]
item=Jangerberries, id=248, option=[null, null, null, null, drop]
item=Clean guam, id=249, option=[null, null, null, null, drop]
item=Clean guam, id=250, option=[null, null, null, null, drop]
item=Clean marrentill, id=251, option=[null, null, null, null, drop]
item=Clean marrentill, id=252, option=[null, null, null, null, drop]
item=Clean tarromin, id=253, option=[null, null, null, null, drop]
item=Clean tarromin, id=254, option=[null, null, null, null, drop]
item=Clean harralander, id=255, option=[null, null, null, null, drop]
item=Clean harralander, id=256, option=[null, null, null, null, drop]
item=Clean ranarr, id=257, option=[null, null, null, null, drop]
item=Clean ranarr, id=258, option=[null, null, null, null, drop]
item=Clean irit, id=259, option=[null, null, null, null, drop]
item=Clean irit, id=260, option=[null, null, null, null, drop]
item=Clean avantoe, id=261, option=[null, null, null, null, drop]
item=Clean avantoe, id=262, option=[null, null, null, null, drop]
item=Clean kwuarm, id=263, option=[null, null, null, null, drop]
item=Clean kwuarm, id=264, option=[null, null, null, null, drop]
item=Clean cadantine, id=265, option=[null, null, null, null, drop]
item=Clean cadantine, id=266, option=[null, null, null, null, drop]
item=Clean dwarf weed, id=267, option=[null, null, null, null, drop]
item=Clean dwarf weed, id=268, option=[null, null, null, null, drop]
item=Clean torstol, id=269, option=[null, null, null, null, drop]
item=Clean torstol, id=270, option=[null, null, null, null, drop]
item=Pressure gauge, id=271, option=[null, null, null, null, drop]
item=Fish food, id=272, option=[null, null, null, null, drop]
item=Poison, id=273, option=[null, null, null, null, drop]
item=Poisoned fish food, id=274, option=[null, null, null, null, drop]
item=Key, id=275, option=[null, null, null, null, drop]
item=Rubber tube, id=276, option=[null, null, null, null, drop]
item=Oil can, id=277, option=[null, null, null, null, drop]
item=Cattleprod, id=278, option=[null, Equip, null, null, drop]
item=Sheep feed, id=279, option=[null, null, null, null, drop]
item=Sheep bones (1), id=280, option=[null, null, null, null, drop]
item=Sheep bones (2), id=281, option=[null, null, null, null, drop]
item=Sheep bones (3), id=282, option=[null, null, null, null, drop]
item=Sheep bones (4), id=283, option=[null, null, null, null, drop]
item=Plague jacket, id=284, option=[null, Wear, null, null, drop]
item=Plague trousers, id=285, option=[null, Wear, null, null, drop]
item=Orange goblin mail, id=286, option=[null, Wear, null, null, drop]
item=Blue goblin mail, id=287, option=[null, Wear, null, null, drop]
item=Goblin mail, id=288, option=[null, Wear, null, null, drop]
item=Goblin mail, id=289, option=[null, null, null, null, drop]
item=Research package, id=290, option=[null, null, null, null, drop]
item=Notes, id=291, option=[null, null, null, null, drop]
item=Book on baxtorian, id=292, option=[Read, null, null, null, drop]
item=A key, id=293, option=[null, null, null, null, drop]
item=Glarial's pebble, id=294, option=[null, null, null, null, drop]
item=Glarial's amulet, id=295, option=[null, Wear, null, null, drop]
item=Glarial's urn, id=296, option=[null, null, null, null, drop]
item=Glarial's urn, id=297, option=[null, null, null, null, drop]
item=A key, id=298, option=[null, null, null, null, drop]
item=Mithril seeds, id=299, option=[Plant, null, null, null, drop]
item=Rat's tail, id=300, option=[null, null, null, null, drop]
item=Lobster pot, id=301, option=[null, null, null, null, drop]
item=Lobster pot, id=302, option=[null, null, null, null, drop]
item=Small fishing net, id=303, option=[null, null, null, null, drop]
item=Small fishing net, id=304, option=[null, null, null, null, drop]
item=Big fishing net, id=305, option=[null, null, null, null, drop]
item=Big fishing net, id=306, option=[null, null, null, null, drop]
item=Fishing rod, id=307, option=[null, null, null, null, drop]
item=Fishing rod, id=308, option=[null, null, null, null, drop]
item=Fly fishing rod, id=309, option=[null, null, null, null, drop]
item=Fly fishing rod, id=310, option=[null, null, null, null, drop]
item=Harpoon, id=311, option=[null, null, null, null, drop]
item=Harpoon, id=312, option=[null, null, null, null, drop]
item=Fishing bait, id=313, option=[null, null, null, null, drop]
item=Feather, id=314, option=[null, null, null, null, drop]
item=Shrimps, id=315, option=[Eat, null, null, null, drop]
item=Shrimps, id=316, option=[null, null, null, null, drop]
item=Raw shrimps, id=317, option=[null, null, null, null, drop]
item=Raw shrimps, id=318, option=[null, null, null, null, drop]
item=Anchovies, id=319, option=[Eat, null, null, null, drop]
item=Anchovies, id=320, option=[null, null, null, null, drop]
item=Raw anchovies, id=321, option=[null, null, null, null, drop]
item=Raw anchovies, id=322, option=[null, null, null, null, drop]
item=Burnt fish, id=323, option=[null, null, null, null, drop]
item=Burnt fish, id=324, option=[null, null, null, null, drop]
item=Sardine, id=325, option=[Eat, null, null, null, drop]
item=Sardine, id=326, option=[null, null, null, null, drop]
item=Raw sardine, id=327, option=[null, null, null, null, drop]
item=Raw sardine, id=328, option=[null, null, null, null, drop]
item=Salmon, id=329, option=[Eat, null, null, null, drop]
item=Salmon, id=330, option=[null, null, null, null, drop]
item=Raw salmon, id=331, option=[null, null, null, null, drop]
item=Raw salmon, id=332, option=[null, null, null, null, drop]
item=Trout, id=333, option=[Eat, null, null, null, drop]
item=Trout, id=334, option=[null, null, null, null, drop]
item=Raw trout, id=335, option=[null, null, null, null, drop]
item=Raw trout, id=336, option=[null, null, null, null, drop]
item=Giant carp, id=337, option=[Eat, null, null, null, drop]
item=Raw giant carp, id=338, option=[null, null, null, null, drop]
item=Cod, id=339, option=[Eat, null, null, null, drop]
item=Cod, id=340, option=[null, null, null, null, drop]
item=Raw cod, id=341, option=[null, null, null, null, drop]
item=Raw cod, id=342, option=[null, null, null, null, drop]
item=Burnt fish, id=343, option=[null, null, null, null, drop]
item=Burnt fish, id=344, option=[null, null, null, null, drop]
item=Raw herring, id=345, option=[null, null, null, null, drop]
item=Raw herring, id=346, option=[null, null, null, null, drop]
item=Herring, id=347, option=[Eat, null, null, null, drop]
item=Herring, id=348, option=[null, null, null, null, drop]
item=Raw pike, id=349, option=[null, null, null, null, drop]
item=Raw pike, id=350, option=[null, null, null, null, drop]
item=Pike, id=351, option=[Eat, null, null, null, drop]
item=Pike, id=352, option=[null, null, null, null, drop]
item=Raw mackerel, id=353, option=[null, null, null, null, drop]
item=Raw mackerel, id=354, option=[null, null, null, null, drop]
item=Mackerel, id=355, option=[Eat, null, null, null, drop]
item=Mackerel, id=356, option=[null, null, null, null, drop]
item=Burnt fish, id=357, option=[null, null, null, null, drop]
item=Burnt fish, id=358, option=[null, null, null, null, drop]
item=Raw tuna, id=359, option=[null, null, null, null, drop]
item=Raw tuna, id=360, option=[null, null, null, null, drop]
item=Tuna, id=361, option=[Eat, null, null, null, drop]
item=Tuna, id=362, option=[null, null, null, null, drop]
item=Raw bass, id=363, option=[null, null, null, null, drop]
item=Raw bass, id=364, option=[null, null, null, null, drop]
item=Bass, id=365, option=[Eat, null, null, null, drop]
item=Bass, id=366, option=[null, null, null, null, drop]
item=Burnt fish, id=367, option=[null, null, null, null, drop]
item=Burnt fish, id=368, option=[null, null, null, null, drop]
item=Burnt fish, id=369, option=[null, null, null, null, drop]
item=Burnt fish, id=370, option=[null, null, null, null, drop]
item=Raw swordfish, id=371, option=[null, null, null, null, drop]
item=Raw swordfish, id=372, option=[null, null, null, null, drop]
item=Swordfish, id=373, option=[Eat, null, null, null, drop]
item=Swordfish, id=374, option=[null, null, null, null, drop]
item=Burnt swordfish, id=375, option=[null, null, null, null, drop]
item=Burnt swordfish, id=376, option=[null, null, null, null, drop]
item=Raw lobster, id=377, option=[null, null, null, null, drop]
item=Raw lobster, id=378, option=[null, null, null, null, drop]
item=Lobster, id=379, option=[Eat, null, null, null, drop]
item=Lobster, id=380, option=[null, null, null, null, drop]
item=Burnt lobster, id=381, option=[null, null, null, null, drop]
item=Burnt lobster, id=382, option=[null, null, null, null, drop]
item=Raw shark, id=383, option=[null, null, null, null, drop]
item=Raw shark, id=384, option=[null, null, null, null, drop]
item=Shark, id=385, option=[Eat, null, null, null, drop]
item=Shark, id=386, option=[null, null, null, null, drop]
item=Burnt shark, id=387, option=[null, null, null, null, drop]
item=Burnt shark, id=388, option=[null, null, null, null, drop]
item=Raw manta ray, id=389, option=[null, null, null, null, drop]
item=Raw manta ray, id=390, option=[null, null, null, null, drop]
item=Manta ray, id=391, option=[Eat, null, null, null, drop]
item=Manta ray, id=392, option=[null, null, null, null, drop]
item=Burnt manta ray, id=393, option=[null, null, null, null, drop]
item=Burnt manta ray, id=394, option=[null, null, null, null, drop]
item=Raw sea turtle, id=395, option=[null, null, null, null, drop]
item=Raw sea turtle, id=396, option=[null, null, null, null, drop]
item=Sea turtle, id=397, option=[Eat, null, null, null, drop]
item=Sea turtle, id=398, option=[null, null, null, null, drop]
item=Burnt sea turtle, id=399, option=[null, null, null, null, drop]
item=Burnt sea turtle, id=400, option=[null, null, null, null, drop]
item=Seaweed, id=401, option=[null, null, null, null, drop]
item=Seaweed, id=402, option=[null, null, null, null, drop]
item=Edible seaweed, id=403, option=[Eat, null, null, null, drop]
item=Edible seaweed, id=404, option=[null, null, null, null, drop]
item=Casket, id=405, option=[Open, null, null, null, drop]
item=Casket, id=406, option=[null, null, null, null, drop]
item=Oyster, id=407, option=[Open, null, null, null, drop]
item=Oyster, id=408, option=[null, null, null, null, drop]
item=Empty oyster, id=409, option=[null, null, null, null, drop]
item=Empty oyster, id=410, option=[null, null, null, null, drop]
item=Oyster pearl, id=411, option=[null, null, null, null, drop]
item=Oyster pearl, id=412, option=[null, null, null, null, drop]
item=Oyster pearls, id=413, option=[null, null, null, null, drop]
item=Oyster pearls, id=414, option=[null, null, null, null, drop]
item=Ethenea, id=415, option=[null, null, null, null, drop]
item=Liquid honey, id=416, option=[null, null, null, null, drop]
item=Sulphuric broline, id=417, option=[null, null, null, null, drop]
item=Plague sample, id=418, option=[null, null, null, null, drop]
item=Touch paper, id=419, option=[null, null, null, null, drop]
item=Distillator, id=420, option=[null, null, null, null, drop]
item=Lathas' amulet, id=421, option=[null, Wear, null, null, drop]
item=Bird feed, id=422, option=[null, null, null, null, drop]
item=Key, id=423, option=[null, null, null, null, drop]
item=Pigeon cage, id=424, option=[Open, null, null, null, drop]
item=Pigeon cage, id=425, option=[null, null, null, null, drop]
item=Priest gown, id=426, option=[null, Wear, null, null, drop]
item=Priest gown, id=427, option=[null, null, null, null, drop]
item=Priest gown, id=428, option=[null, Wear, null, null, drop]
item=Priest gown, id=429, option=[null, null, null, null, drop]
item=Doctors' gown, id=430, option=[null, Wear, null, null, drop]
item=Karamjan rum, id=431, option=[null, null, null, Drink, drop]
item=Chest key, id=432, option=[null, null, null, null, drop]
item=Pirate message, id=433, option=[Read, null, null, null, drop]
item=Clay, id=434, option=[null, null, null, null, drop]
item=Clay, id=435, option=[null, null, null, null, drop]
item=Copper ore, id=436, option=[null, null, null, null, drop]
item=Copper ore, id=437, option=[null, null, null, null, drop]
item=Tin ore, id=438, option=[null, null, null, null, drop]
item=Tin ore, id=439, option=[null, null, null, null, drop]
item=Iron ore, id=440, option=[null, null, null, null, drop]
item=Iron ore, id=441, option=[null, null, null, null, drop]
item=Silver ore, id=442, option=[null, null, null, null, drop]
item=Silver ore, id=443, option=[null, null, null, null, drop]
item=Gold ore, id=444, option=[null, null, null, null, drop]
item=Gold ore, id=445, option=[null, null, null, null, drop]
item='perfect' gold ore, id=446, option=[null, null, null, null, drop]
item=Mithril ore, id=447, option=[null, null, null, null, drop]
item=Mithril ore, id=448, option=[null, null, null, null, drop]
item=Adamantite ore, id=449, option=[null, null, null, null, drop]
item=Adamantite ore, id=450, option=[null, null, null, null, drop]
item=Runite ore, id=451, option=[null, null, null, null, drop]
item=Runite ore, id=452, option=[null, null, null, null, drop]
item=Coal, id=453, option=[null, null, null, null, drop]
item=Coal, id=454, option=[null, null, null, null, drop]
item=Barcrawl card, id=455, option=[Read, null, null, null, drop]
item=Scorpion cage, id=456, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=457, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=458, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=459, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=460, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=461, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=462, option=[null, null, null, null, Destroy]
item=Scorpion cage, id=463, option=[null, null, null, null, Destroy]
item=Strange fruit, id=464, option=[Eat, null, null, null, drop]
item=Strange fruit, id=465, option=[null, null, null, null, drop]
item=Pickaxe handle, id=466, option=[null, Wield, null, null, drop]
item=Pickaxe handle, id=467, option=[null, null, null, null, drop]
item=Broken pickaxe, id=468, option=[null, null, null, null, drop]
item=Broken pickaxe, id=469, option=[null, null, null, null, drop]
item=Broken pickaxe, id=470, option=[null, null, null, null, drop]
item=Broken pickaxe, id=471, option=[null, null, null, null, drop]
item=Broken pickaxe, id=472, option=[null, null, null, null, drop]
item=Broken pickaxe, id=473, option=[null, null, null, null, drop]
item=Broken pickaxe, id=474, option=[null, null, null, null, drop]
item=Broken pickaxe, id=475, option=[null, null, null, null, drop]
item=Broken pickaxe, id=476, option=[null, null, null, null, drop]
