NPC id=0, name=Hans, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=29, name=Chuck, level=1, option=[null, null, null, null, null], anims=[808, -1].
NPC id=30, name=Barman, level=0, option=[null, null, null, null, null], anims=[808, -1].
NPC id=31, name=Priest, level=0, option=[null, null, null, null, null], anims=[808, -1].
NPC id=32, name=Guard, level=20, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=33, name=Door man, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=34, name=Watchman, level=33, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=35, name=Soldier, level=28, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=36, name=Wyson the gardener, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=37, name=Sigbert the Adventurer, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=38, name=Shipyard worker, level=11, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=39, name=Shipyard worker, level=11, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=40, name=Shark, level=0, option=[null, null, null, null, null], anims=[-1, 10].
NPC id=41, name=Chicken, level=1, option=[null, Attack, null, null, null], anims=[5386, 5385].
NPC id=42, name=Sheep, level=0, option=[null, null, null, null, null], anims=[5339, 5340].
NPC id=43, name=Sheep, level=0, option=[Shear, null, null, null, null], anims=[5335, 5334].
NPC id=44, name=Banker, level=0, option=[Talk-to, Bank, null, Collect, null], anims=[808, 808].
NPC id=45, name=Banker, level=0, option=[Talk-to, Bank, null, Collect, null], anims=[808, 808].
NPC id=46, name=Duck, level=1, option=[null, Attack, null, null, null], anims=[6818, 6817].
NPC id=47, name=Rat, level=1, option=[null, Attack, null, null, null], anims=[2704, 2703].
NPC id=48, name=Oomlie bird, level=46, option=[null, Attack, null, null, null], anims=[5386, 5385].
NPC id=49, name=Hellhound, level=122, option=[null, Attack, null, null, null], anims=[6561, 6583].
NPC id=50, name=King Black Dragon, level=276, option=[null, Attack, null, null, null], anims=[90, 4635].
NPC id=51, name=Baby dragon, level=48, option=[null, Attack, null, null, null], anims=[27, 21].
NPC id=52, name=Baby blue dragon, level=48, option=[null, Attack, null, null, null], anims=[27, 21].
NPC id=53, name=Red dragon, level=152, option=[null, Attack, null, null, null], anims=[90, 79].
NPC id=54, name=Black dragon, level=227, option=[null, Attack, null, null, null], anims=[90, 79].
NPC id=55, name=Blue dragon, level=111, option=[null, Attack, null, null, null], anims=[90, 79].
NPC id=56, name=Dryad, level=1, option=[null, null, null, null, null], anims=[96, 93].
NPC id=57, name=Fairy, level=0, option=[Talk-to, null, null, null, null], anims=[112, 106].
NPC id=58, name=Shadow spider, level=52, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=59, name=Giant spider, level=2, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=60, name=Giant spider, level=27, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=61, name=Spider, level=1, option=[null, Attack, null, null, null], anims=[6247, 6248].
NPC id=62, name=Jungle spider, level=44, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=63, name=Deadly red spider, level=34, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=64, name=Ice spider, level=61, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=65, name=Leprechaun, level=12, option=[null, Attack, null, null, null], anims=[195, 189].
NPC id=66, name=Gnome, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=67, name=Gnome, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=68, name=Gnome, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=69, name=Lizard man, level=22, option=[null, Attack, null, null, null], anims=[179, 176].
NPC id=70, name=Turael, level=0, option=[Talk-to, null, null, Trade, null], anims=[813, -1].
NPC id=71, name=Orc, level=20, option=[Talk-to, null, null, null, null], anims=[232, 229].
NPC id=72, name=Troll, level=69, option=[null, Attack, null, null, null], anims=[286, 283].
NPC id=73, name=Zombie, level=13, option=[null, Attack, null, null, null], anims=[5565, -1].
NPC id=74, name=Zombie, level=18, option=[null, Attack, null, null, null], anims=[5576, -1].
NPC id=75, name=Zombie, level=24, option=[null, Attack, null, null, null], anims=[5572, -1].
NPC id=76, name=Zombie, level=25, option=[null, Attack, null, null, null], anims=[5572, -1].
NPC id=77, name=Summoned Zombie, level=13, option=[null, Attack, null, null, null], anims=[5565, -1].
NPC id=78, name=Giant bat, level=27, option=[null, Attack, null, null, null], anims=[4914, 4913].
NPC id=79, name=Death wing, level=83, option=[null, Attack, null, null, null], anims=[4914, 4913].
NPC id=80, name=Camel, level=0, option=[Talk-to, null, null, null, null], anims=[51, 45].
NPC id=81, name=Cow, level=2, option=[null, Attack, null, null, null], anims=[5852, 5848].
NPC id=82, name=Lesser demon, level=82, option=[null, Attack, null, null, null], anims=[66, 63].
NPC id=83, name=Greater demon, level=92, option=[null, Attack, null, null, null], anims=[66, 63].
NPC id=84, name=Black demon, level=172, option=[null, Attack, null, null, null], anims=[66, 63].
NPC id=85, name=Golem, level=55, option=[null, Attack, null, null, null], anims=[155, 152].
NPC id=86, name=Giant rat, level=3, option=[null, Attack, null, null, null], anims=[4932, 4931].
NPC id=87, name=Giant rat, level=6, option=[null, Attack, null, null, null], anims=[4932, 4931].
NPC id=88, name=Dungeon rat, level=12, option=[null, Attack, null, null, null], anims=[4932, 4931].
NPC id=89, name=Unicorn, level=15, option=[null, Attack, null, null, null], anims=[6374, 6373].
NPC id=90, name=Skeleton, level=22, option=[null, Attack, null, null, null], anims=[5483, 5481].
NPC id=91, name=Skeleton, level=21, option=[null, Attack, null, null, null], anims=[5483, 5481].
NPC id=92, name=Skeleton, level=25, option=[null, Attack, null, null, null], anims=[5483, 5481].
NPC id=93, name=Skeleton, level=45, option=[null, Attack, null, null, null], anims=[5493, 5497].
NPC id=94, name=Skeleton Mage, level=16, option=[null, Attack, null, null, null], anims=[5483, 5479].
NPC id=95, name=Wolf, level=64, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=96, name=White wolf, level=25, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=97, name=White wolf, level=38, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=98, name=Dog, level=0, option=[null, null, null, null, null], anims=[6561, 6560].
NPC id=99, name=Guard dog, level=44, option=[null, Attack, null, null, null], anims=[6561, 6560].
NPC id=100, name=Goblin, level=2, option=[null, Attack, null, null, null], anims=[6181, 6180].
NPC id=101, name=Goblin, level=5, option=[null, Attack, null, null, null], anims=[6186, 6187].
NPC id=102, name=Goblin, level=13, option=[null, Attack, null, null, null], anims=[6181, 6180].
NPC id=103, name=Ghost, level=19, option=[null, Attack, null, null, null], anims=[5538, 5539].
NPC id=104, name=Ghost, level=19, option=[null, Attack, null, null, null], anims=[5530, 5531].
NPC id=105, name=Grizzly bear, level=21, option=[null, Attack, null, null, null], anims=[4919, 4923].
NPC id=106, name=Black bear, level=19, option=[null, Attack, null, null, null], anims=[4919, 4923].
NPC id=107, name=Scorpion, level=14, option=[null, Attack, null, null, null], anims=[6252, 6253].
NPC id=108, name=Poison Scorpion, level=20, option=[null, Attack, null, null, null], anims=[6252, 6253].
NPC id=109, name=Pit Scorpion, level=28, option=[null, Attack, null, null, null], anims=[6258, 6257].
NPC id=110, name=Fire giant, level=86, option=[null, Attack, null, null, null], anims=[4662, 4660].
NPC id=111, name=Ice giant, level=53, option=[null, Attack, null, null, null], anims=[4670, 4669].
NPC id=112, name=Moss giant, level=42, option=[null, Attack, null, null, null], anims=[4656, 4654].
NPC id=113, name=Jogre, level=53, option=[null, Attack, null, null, null], anims=[130, 127].
NPC id=114, name=Ogre, level=53, option=[null, Attack, null, null, null], anims=[357, 358].
NPC id=115, name=Ogre, level=53, option=[null, Attack, null, null, null], anims=[357, 358].
NPC id=116, name=Cyclops, level=56, option=[null, Attack, null, null, null], anims=[4650, 4649].
NPC id=117, name=Hill Giant, level=28, option=[null, Attack, null, null, null], anims=[4650, 4649].
NPC id=118, name=Dwarf, level=10, option=[null, Attack, null, null, null], anims=[101, 98].
NPC id=119, name=Chaos dwarf, level=48, option=[null, Attack, null, null, null], anims=[101, 98].
NPC id=120, name=Dwarf, level=20, option=[null, Attack, null, null, null], anims=[101, 98].
NPC id=121, name=Dwarf, level=9, option=[null, Attack, null, null, null], anims=[101, 98].
NPC id=122, name=Hobgoblin, level=28, option=[null, Attack, null, null, null], anims=[166, 162].
NPC id=123, name=Hobgoblin, level=42, option=[null, Attack, null, null, null], anims=[166, 162].
NPC id=124, name=Earth warrior, level=51, option=[null, Attack, null, null, null], anims=[808, 841].
NPC id=125, name=Ice warrior, level=57, option=[null, Attack, null, null, null], anims=[842, 841].
NPC id=126, name=Otherworldly being, level=64, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=127, name=Magic axe, level=42, option=[null, Attack, null, null, null], anims=[187, 181].
NPC id=128, name=Snake, level=5, option=[null, Attack, null, null, null], anims=[277, 274].
NPC id=129, name=Skavid, level=2, option=[null, Attack, null, null, null], anims=[257, 254].
NPC id=130, name=Yeti, level=58, option=[null, Attack, null, null, null], anims=[296, 293].
NPC id=131, name=Penguin, level=2, option=[null, Attack, null, null, null], anims=[5668, 5666].
NPC id=132, name=Monkey, level=3, option=[null, Attack, null, null, null], anims=[222, 219].
NPC id=133, name=Black unicorn, level=27, option=[null, Attack, null, null, null], anims=[6374, 6373].
NPC id=134, name=Poison spider, level=64, option=[null, Attack, null, null, null], anims=[5326, 5325].
NPC id=135, name=Mammoth, level=41, option=[null, Attack, null, null, null], anims=[306, 303].
NPC id=136, name=Mounted terrorchick gnome, level=0, option=[Talk-to, null, null, null, null], anims=[6798, 6799].
NPC id=137, name=Terrorchick gnome, level=0, option=[null, null, null, null, null], anims=[6798, 6799].
NPC id=138, name=Terrorbird, level=28, option=[null, Attack, null, null, null], anims=[1008, 1007].
NPC id=139, name=Terrorbird, level=28, option=[null, Attack, null, null, null], anims=[1008, 1007].
NPC id=140, name=Souless, level=18, option=[null, Attack, null, null, null], anims=[337, 336].
NPC id=141, name=Big Wolf, level=73, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=142, name=Wolf, level=25, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=143, name=Jungle Wolf, level=64, option=[null, Attack, null, null, null], anims=[6580, 6556].
NPC id=144, name=King Scorpion, level=32, option=[null, Attack, null, null, null], anims=[6252, 6253].
NPC id=145, name=Ice warrior, level=57, option=[null, Attack, null, null, null], anims=[842, 841].
NPC id=146, name=Gull, level=0, option=[null, null, null, null, null], anims=[6771, 6773].
NPC id=147, name=Cormorant, level=0, option=[null, null, null, null, null], anims=[6772, 6774].
NPC id=148, name=Pelican, level=0, option=[null, null, null, null, null], anims=[6772, 6774].
NPC id=149, name=Gull, level=0, option=[null, null, null, null, null], anims=[6771, 6773].
NPC id=150, name=Gull, level=0, option=[null, null, null, null, null], anims=[6771, 6773].
NPC id=151, name=Fly trap, level=0, option=[null, null, null, null, null], anims=[-1, -1].
NPC (wrapper) id=152, child npcs=[5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, 5207, -1, -1, 5207, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5207, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5208, -1].
NPC id=153, name=Butterfly, level=0, option=[null, null, null, null, null], anims=[362, 362].
NPC id=154, name=Butterfly, level=0, option=[null, null, null, null, null], anims=[362, 362].
NPC id=155, name=Butterfly, level=0, option=[null, null, null, null, null], anims=[362, 362].
NPC id=156, name=Butterfly, level=0, option=[null, null, null, null, null], anims=[362, 362].
NPC id=157, name=Butterfly, level=0, option=[null, null, null, null, null], anims=[362, 362].
NPC id=158, name=Shadow warrior, level=48, option=[null, Attack, null, null, null], anims=[842, 841].
NPC id=159, name=Gnome child, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=160, name=Gnome child, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=161, name=Gnome child, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=162, name=Gnome trainer, level=0, option=[Talk-to, null, null, null, null], anims=[195, 189].
NPC id=163, name=Gnome guard, level=23, option=[null, Attack, null, null, null], anims=[195, 189].
NPC id=164, name=Gnome guard, level=23, option=[null, Attack, null, null, null], anims=[195, 189].
NPC id=165, name=Gnome shop keeper, level=0, option=[null, null, null, null, null], anims=[195, 189].
NPC id=166, name=Gnome banker, level=0, option=[Talk-to, null, Bank, Collect, null], anims=[195, 195].
NPC id=167, name=Gnome baller, level=0, option=[null, null, null, null, null], anims=[195, 189].
NPC id=168, name=Gnome woman, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=169, name=Gnome woman, level=1, option=[Talk-to, Attack, Pickpocket, null, null], anims=[195, 189].
NPC id=170, name=Man, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[813, -1].
NPC id=171, name=Brimstail, level=0, option=[Talk-to, null, Teleport, null, null], anims=[195, 189].
NPC id=172, name=Dark wizard, level=20, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=173, name=Invrigar the Necromancer, level=20, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=174, name=Dark wizard, level=7, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=175, name=Mugger, level=6, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=176, name=Witch, level=25, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=177, name=Witch, level=25, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=178, name=Black Knight, level=33, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=179, name=Black Knight, level=33, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=180, name=Highwayman, level=5, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=181, name=Chaos druid, level=13, option=[null, Attack, null, null, null], anims=[8528, 8527].
NPC id=182, name=Pirate, level=23, option=[Talk-to, Attack, null, null, null], anims=[7188, -1].
NPC id=183, name=Pirate, level=23, option=[Talk-to, Attack, null, null, null], anims=[7188, -1].
NPC id=184, name=Pirate, level=26, option=[null, Attack, null, null, null], anims=[7188, -1].
NPC id=185, name=Pirate, level=23, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=186, name=Thug, level=10, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=187, name=Rogue, level=15, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=188, name=Monk of Zamorak, level=22, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=189, name=Monk of Zamorak, level=17, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=190, name=Monk of Zamorak, level=45, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=191, name=Tribesman, level=32, option=[null, Attack, null, null, null], anims=[813, -1].
NPC id=192, name=Dark warrior, level=8, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=193, name=Chaos druid warrior, level=37, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=194, name=Necromancer, level=26, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=195, name=Bandit, level=22, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=196, name=Guard Bandit, level=22, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=197, name=Barbarian guard, level=8, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=198, name=Guildmaster, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=199, name=Gunthor the Brave, level=29, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=200, name=Lord Daquarius, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=201, name=Jailer, level=47, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=202, name=Black Heather, level=34, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=203, name=Donny the Lad, level=34, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=204, name=Speedy Keith, level=34, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=205, name=Salarin the Twisted, level=70, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=206, name=Guard, level=10, option=[Talk-to, Attack, null, null, null], anims=[101, 98].
NPC id=207, name=Lollk, level=0, option=[Talk-to, null, null, null, null], anims=[101, 98].
NPC id=208, name=Captain Lawgof, level=0, option=[Talk-to, null, null, null, null], anims=[101, 98].
NPC id=209, name=Nulodion, level=0, option=[Talk-to, null, Trade, null, null], anims=[101, 98].
NPC id=210, name=Grail Maiden, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=211, name=Sir Percival, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=212, name=King Percival, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=213, name=Merlin, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=214, name=Peasant, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=215, name=Peasant, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=216, name=High Priest, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=217, name=Crone, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=218, name=Galahad, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=219, name=Fisherman, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=220, name=The Fisher King, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=221, name=Black Knight Titan, level=120, option=[Talk-to, Attack, null, null, null], anims=[130, 127].
NPC id=222, name=Monk, level=5, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=223, name=Brother Kojo, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=224, name=Dungeon rat, level=12, option=[null, Attack, null, null, null], anims=[4932, 4931].
NPC id=225, name=Bonzo, level=0, option=[Talk-to, null, Pay, null, null], anims=[808, -1].
NPC (wrapper) id=226, child npcs=[3677, 3678, -1].
NPC id=227, name=Morris, level=0, option=[Talk-to, null, null, null, null], anims=[3845, -1].
NPC id=228, name=Big Dave, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=229, name=Joshua, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=230, name=Grandpa Jack, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=231, name=Forester, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=232, name=Austri, level=0, option=[Talk-to, null, null, null, null], anims=[101, 98].
NPC id=233, name=Fishing spot, level=0, option=[Bait, null, null, null, null], anims=[447, 448].
NPC id=234, name=Fishing spot, level=0, option=[Bait, null, null, null, null], anims=[447, 448].
NPC id=235, name=Fishing spot, level=0, option=[Bait, null, null, null, null], anims=[447, 448].
NPC id=236, name=Fishing spot, level=0, option=[Bait, null, null, null, null], anims=[447, 448].
NPC id=237, name=Renegade Knight, level=37, option=[null, Attack, null, null, null], anims=[6927, 6928].
NPC id=238, name=Thrantax the Mighty, level=92, option=[null, Attack, null, null, null], anims=[5538, 5539].
NPC id=239, name=Sir Lancelot, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=240, name=Sir Gawain, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=241, name=Sir Kay, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=242, name=Sir Bedivere, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=243, name=Sir Tristram, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=244, name=Sir Pelleas, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=245, name=Sir Lucan, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=246, name=Teapotspout, level=94, option=[null, null, Walk here, Follow, Trade], anims=[8943, 8943].
NPC id=247, name=Sir Mordred, level=39, option=[Talk-to, Attack, null, null, null], anims=[6487, 6486].
NPC id=248, name=Morgan Le Faye, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=249, name=Merlin, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=250, name=The Lady of the Lake, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=251, name=King Arthur, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=252, name=Beggar, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=253, name=Khazard Guard, level=23, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=254, name=Khazard Guard, level=23, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=255, name=Khazard Guard, level=23, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=256, name=Khazard Guard, level=23, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=257, name=Khazard Guard, level=25, option=[null, null, null, null, null], anims=[808, -1].
NPC id=258, name=General Khazard, level=112, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=259, name=Khazard barman, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=260, name=Kelvin, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=261, name=Joe, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=262, name=Fightslave, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=263, name=Hengrad, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=264, name=Lady Servil, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=265, name=Jeremy Servil, level=0, option=[Talk-to, null, null, null, null], anims=[7158, 7160].
NPC id=266, name=Jeremy Servil, level=0, option=[Talk-to, null, null, null, null], anims=[7158, 7160].
NPC id=267, name=Justin Servil, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=268, name=Local, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=269, name=Bouncer, level=137, option=[null, Attack, null, null, null], anims=[6580, 6582].
NPC id=270, name=Khazard Ogre, level=63, option=[null, Attack, null, null, null], anims=[357, 358].
NPC id=271, name=Khazard Scorpion, level=44, option=[null, Attack, null, null, null], anims=[6252, 6262].
NPC id=272, name=Lucien, level=14, option=[Talk-to, Attack, null, null, null], anims=[6469, 6468].
NPC id=273, name=Lucien, level=0, option=[Talk-to, null, null, null, null], anims=[6469, 6468].
NPC id=274, name=Guardian of Armadyl, level=45, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=275, name=Guardian of Armadyl, level=43, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=276, name=Winelda, level=0, option=[Talk-to, null, null, null, null], anims=[813, -1].
NPC id=277, name=Fire Warrior of Lesarkus, level=84, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=278, name=Cook, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=279, name=Brother Omad, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=280, name=Brother Cedric, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=281, name=Monk, level=3, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=282, name=Thief, level=14, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=283, name=Head Thief, level=26, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=284, name=Doric, level=0, option=[Talk-to, null, null, null, null], anims=[101, 98].
