/*
item=Gazebo, id=8192, option=[null, null, null, null, drop]
item=Torn curtains, id=8322, option=[null, null, null, null, drop]
item=Curtains, id=8323, option=[null, null, null, null, drop]
item=Opulent curtains, id=8324, option=[null, null, null, null, drop]
item=Clay fireplace, id=8325, option=[null, null, null, null, drop]
item=Stone fireplace, id=8326, option=[null, null, null, null, drop]
item=Marble fireplace, id=8327, option=[null, null, null, null, drop]
item=Teak portal, id=8328, option=[null, null, null, null, drop]
item=Mahogany portal, id=8329, option=[null, null, null, null, drop]
item=Marble portal, id=8330, option=[null, null, null, null, drop]
item=Teleport focus, id=8331, option=[null, null, null, null, drop]
item=Greater focus, id=8332, option=[null, null, null, null, drop]
item=Scrying pool, id=8333, option=[null, null, null, null, drop]
item=Oak lectern, id=8334, option=[null, null, null, null, drop]
item=Eagle lectern, id=8335, option=[null, null, null, null, drop]
item=Demon lectern, id=8336, option=[null, null, null, null, drop]
item=Teak eagle lectern, id=8337, option=[null, null, null, null, drop]
item=Teak demon lectern, id=8338, option=[null, null, null, null, drop]
item=Mahogany eagle, id=8339, option=[null, null, null, null, drop]
item=Mahogany demon, id=8340, option=[null, null, null, null, drop]
item=Globe, id=8341, option=[null, null, null, null, drop]
item=Ornamental globe, id=8342, option=[null, null, null, null, drop]
item=Lunar globe, id=8343, option=[null, null, null, null, drop]
item=Celestial globe, id=8344, option=[null, null, null, null, drop]
item=Armillary sphere, id=8345, option=[null, null, null, null, drop]
item=Small orrery, id=8346, option=[null, null, null, null, drop]
item=Large orrery, id=8347, option=[null, null, null, null, drop]
item=Wooden telescope, id=8348, option=[null, null, null, null, drop]
item=Teak telescope, id=8349, option=[null, null, null, null, drop]
item=Mahogany 'scope, id=8350, option=[null, null, null, null, drop]
item=Crystal ball, id=8351, option=[null, null, null, null, drop]
item=Elemental sphere, id=8352, option=[null, null, null, null, drop]
item=Crystal of power, id=8353, option=[null, null, null, null, drop]
item=Alchemical chart, id=8354, option=[null, null, null, null, drop]
item=Astronomical chart, id=8355, option=[null, null, null, null, drop]
item=Infernal chart, id=8356, option=[null, null, null, null, drop]
item=Oak throne, id=8357, option=[null, null, null, null, drop]
item=Teak throne, id=8358, option=[null, null, null, null, drop]
item=Mahogany throne, id=8359, option=[null, null, null, null, drop]
item=Gilded throne, id=8360, option=[null, null, null, null, drop]
item=Skeleton throne, id=8361, option=[null, null, null, null, drop]
item=Crystal throne, id=8362, option=[null, null, null, null, drop]
item=Demonic throne, id=8363, option=[null, null, null, null, drop]
item=Oak lever, id=8364, option=[null, null, null, null, drop]
item=Teak lever, id=8365, option=[null, null, null, null, drop]
item=Mahogany lever, id=8366, option=[null, null, null, null, drop]
item=Trapdoor, id=8367, option=[null, null, null, null, drop]
item=Trapdoor, id=8368, option=[null, null, null, null, drop]
item=Trapdoor, id=8369, option=[null, null, null, null, drop]
item=Floor decoration, id=8370, option=[null, null, null, null, drop]
item=Steel cage, id=8371, option=[null, null, null, null, drop]
item=Trapdoor, id=8372, option=[null, null, null, null, drop]
item=Lesser magic cage, id=8373, option=[null, null, null, null, drop]
item=Greater magic cage, id=8374, option=[null, null, null, null, drop]
item=Wooden workbench, id=8375, option=[null, null, null, null, drop]
item=Oak workbench, id=8376, option=[null, null, null, null, drop]
item=Steel framed bench, id=8377, option=[null, null, null, null, drop]
item=Bench with vice, id=8378, option=[null, null, null, null, drop]
item=Bench with lathe, id=8379, option=[null, null, null, null, drop]
item=Crafting table 1, id=8380, option=[null, null, null, null, drop]
item=Crafting table 2, id=8381, option=[null, null, null, null, drop]
item=Crafting table 3, id=8382, option=[null, null, null, null, drop]
item=Crafting table 4, id=8383, option=[null, null, null, null, drop]
item=Tool store 1, id=8384, option=[null, null, null, null, drop]
item=Tool store 2, id=8385, option=[null, null, null, null, drop]
item=Tool store 3, id=8386, option=[null, null, null, null, drop]
item=Tool store 4, id=8387, option=[null, null, null, null, drop]
item=Tool store 5, id=8388, option=[null, null, null, null, drop]
item=Repair bench, id=8389, option=[null, null, null, null, drop]
item=Whetstone, id=8390, option=[null, null, null, null, drop]
item=Armour stand, id=8391, option=[null, null, null, null, drop]
item=Pluming stand, id=8392, option=[null, null, null, null, drop]
item=Shield easel, id=8393, option=[null, null, null, null, drop]
item=Banner easel, id=8394, option=[null, null, null, null, drop]
item=Parlour, id=8395, option=[null, null, null, null, drop]
item=Kitchen, id=8396, option=[null, null, null, null, drop]
item=Dining room, id=8397, option=[null, null, null, null, drop]
item=Bedroom, id=8398, option=[null, null, null, null, drop]
item=Games room, id=8399, option=[null, null, null, null, drop]
item=Combat room, id=8400, option=[null, null, null, null, drop]
item=Hall, id=8401, option=[null, null, null, null, drop]
item=Hall, id=8402, option=[null, null, null, null, drop]
item=Hall, id=8403, option=[null, null, null, null, drop]
item=Hall, id=8404, option=[null, null, null, null, drop]
item=Chapel, id=8405, option=[null, null, null, null, drop]
item=Workshop, id=8406, option=[null, null, null, null, drop]
item=Study, id=8407, option=[null, null, null, null, drop]
item=Portal chamber, id=8408, option=[null, null, null, null, drop]
item=Throne room, id=8409, option=[null, null, null, null, drop]
item=Oubliette, id=8410, option=[null, null, null, null, drop]
item=Dungeon corridor, id=8411, option=[null, null, null, null, drop]
item=Dungeon cross, id=8412, option=[null, null, null, null, drop]
item=Dungeon stairs, id=8413, option=[null, null, null, null, drop]
item=Treasure room, id=8414, option=[null, null, null, null, drop]
item=Garden, id=8415, option=[null, null, null, null, drop]
item=Formal garden, id=8416, option=[null, null, null, null, drop]
 */
